TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0,2.4749999999999996,left,1,0,left
2,0.3,2.4749999999999996,right,1,1,left
3,-0.3,3.507,left,1,2,right
4,-0.3,4.0200000000000005,right,1,3,right
5,-0.3,3,left,1,4,left
6,0,3,left,1,5,left
7,0.3,3.507,right,1,6,left
8,0.3,3,right,1,7,left
9,-0.3,2.181,right,1,8,left
10,0.3,2.181,left,1,9,right
11,0.3,1.7069999999999999,right,1,10,left
12,0,4.0200000000000005,right,1,11,right
13,0,4.59,right,1,12,right
14,0,1.7069999999999999,left,1,13,right
15,0.3,4.0200000000000005,left,1,14,left
16,-0.3,4.59,right,1,15,right
17,0,2.181,right,1,16,left
18,0,1.7069999999999999,right,1,17,left
19,0.3,2.4749999999999996,left,1,18,left
20,0,2.4749999999999996,right,1,19,left
21,-0.3,2.4749999999999996,left,1,20,right
22,0,3,right,1,21,left
23,-0.3,4.59,left,1,22,left
24,0,3.507,left,1,23,left
25,0.3,4.59,right,1,24,right
26,0,3.507,right,1,25,right
27,-0.3,1.7069999999999999,right,1,26,left
28,0,2.181,left,1,27,right
29,0.3,3,left,1,28,right
30,-0.3,1.7069999999999999,left,1,29,right
31,0.3,3.507,left,1,30,left
32,-0.3,4.0200000000000005,left,1,31,left
33,-0.3,2.4749999999999996,right,1,32,left
34,0,4.59,left,1,33,left
35,-0.3,3,right,1,34,left
36,0.3,1.7069999999999999,left,1,35,right
37,-0.3,3.507,right,1,36,right
38,0.3,4.59,left,1,37,left
39,0,4.0200000000000005,left,1,38,left
40,0.3,2.181,right,1,39,left
41,0.3,4.0200000000000005,right,1,40,right
42,-0.3,2.181,left,1,41,right
43,0,4.59,left,1,42,left
44,0,3,right,1,43,left
45,-0.3,3,left,1,44,left
46,0.3,4.59,right,1,45,right
47,-0.3,2.181,left,1,46,right
48,-0.3,1.7069999999999999,left,1,47,right
49,0.3,3,right,1,48,right
50,0.3,1.7069999999999999,right,1,49,left
51,-0.3,3,right,1,50,right
52,-0.3,2.4749999999999996,left,1,51,right
53,0,2.4749999999999996,right,1,52,left
54,0,3.507,right,1,53,right
55,0,4.59,right,1,54,right
56,0.3,3.507,right,1,55,right
57,-0.3,4.59,right,1,56,right
58,0.3,2.4749999999999996,left,1,57,right
59,0.3,2.181,right,1,58,left
60,0.3,3.507,left,1,59,left
61,0.3,3,left,1,60,right
62,0,1.7069999999999999,right,1,61,left
63,0.3,1.7069999999999999,left,1,62,right
64,0.3,2.181,left,1,63,right
65,0.3,4.59,left,1,64,left
66,0,2.181,right,1,65,left
67,0.3,4.0200000000000005,right,1,66,right
68,0,4.0200000000000005,right,1,67,right
69,0,2.181,left,1,68,right
70,0.3,4.0200000000000005,left,1,69,left
71,-0.3,3.507,right,1,70,right
72,-0.3,2.181,right,1,71,left
73,0,1.7069999999999999,left,1,72,right
74,-0.3,4.59,left,1,73,left
75,0.3,2.4749999999999996,right,1,74,left
76,-0.3,1.7069999999999999,right,1,75,left
77,-0.3,4.0200000000000005,right,1,76,right
78,0,3.507,left,1,77,left
79,-0.3,3.507,left,1,78,left
80,0,2.4749999999999996,left,1,79,right
81,0,4.0200000000000005,left,1,80,left
82,-0.3,4.0200000000000005,left,1,81,left
83,0,3,left,1,82,right
84,-0.3,2.4749999999999996,right,1,83,left
85,-0.3,2.181,right,1,84,left
86,0,4.0200000000000005,left,1,85,left
87,0,4.59,left,1,86,left
88,-0.3,4.0200000000000005,right,1,87,right
89,0.3,4.0200000000000005,left,1,88,left
90,0,2.4749999999999996,left,1,89,right
91,-0.3,4.59,left,1,90,left
92,0,3,right,1,91,right
93,0.3,2.4749999999999996,left,1,92,right
94,0,1.7069999999999999,right,1,93,left
95,-0.3,4.59,right,1,94,right
96,0,3.507,right,1,95,right
97,-0.3,3,left,1,96,right
98,0.3,4.59,right,1,97,right
99,-0.3,2.4749999999999996,right,1,98,right
100,0.3,3,left,1,99,right
101,0.3,1.7069999999999999,left,1,100,right
